82	,	3.25	,	1.84	,	0.74	,	0.108	,	0.065	,	0.229	,	0.003	,	0.018	,	0.101	,	0.043	,	0.011	,	0.01	,	0.002	,	3.9
72.8	,	3.24	,	1.72	,	0.76	,	0.097	,	0.062	,	0.305	,	0.003	,	0.024	,	0.102	,	0.039	,	0.011	,	0.012	,	0.002	,	3.85
82	,	3.37	,	1.89	,	0.72	,	0.093	,	0.062	,	0.173	,	0.004	,	0.022	,	0.06	,	0.061	,	0.015	,	0.01	,	0.002	,	4.04
84.8	,	3.29	,	1.88	,	0.83	,	0.118	,	0.057	,	0.284	,	0.004	,	0.02	,	0.1	,	0.051	,	0.013	,	0.013	,	0.002	,	3.96
86	,	3.23	,	1.78	,	0.77	,	0.101	,	0.067	,	0.267	,	0.009	,	0.017	,	0.109	,	0.037	,	0.011	,	0.011	,	0.001	,	3.86
52	,	3.22	,	1.76	,	0.81	,	0.108	,	0.067	,	0.261	,	0.007	,	0.029	,	0.115	,	0.037	,	0.011	,	0.01	,	0.002	,	3.84
58.8	,	3.47	,	1.77	,	0.63	,	0.114	,	0.062	,	0.094	,	0.007	,	0.016	,	0.115	,	0.057	,	0.012	,	0.03	,	0.002	,	4.09
69.2	,	3.28	,	1.89	,	0.84	,	0.105	,	0.06	,	0.261	,	0.004	,	0.019	,	0.108	,	0.043	,	0.011	,	0.013	,	0.002	,	3.95
84.8	,	3.3	,	1.9	,	0.82	,	0.094	,	0.058	,	0.265	,	0.005	,	0.013	,	0.052	,	0.06	,	0.016	,	0.013	,	0.002	,	3.97
84	,	3.69	,	2.63	,	0.216	,	0.072	,	0.012	,	0.033	,	0.002	,	0.006	,	0.011	,	0.047	,	0.008	,	0.01	,	0.048	,	4.59
73.2	,	3.16	,	1.95	,	0.72	,	0.093	,	0.06	,	0.258	,	0.013	,	0.031	,	0.12	,	0.039	,	0.013	,	0.012	,	0	,	3.84
85.6	,	3.23	,	1.61	,	0.6	,	0.119	,	0.064	,	0.29	,	0.021	,	0.038	,	0.183	,	0.038	,	0.013	,	0.015	,	0.002	,	3.8
81.6	,	3.23	,	1.83	,	0.89	,	0.101	,	0.073	,	0.29	,	0.002	,	0.018	,	0.088	,	0.043	,	0.015	,	0.011	,	0.003	,	3.88
80	,	3.25	,	1.9	,	0.69	,	0.113	,	0.06	,	0.324	,	0.022	,	0.04	,	0.197	,	0.031	,	0.012	,	0.016	,	0.003	,	3.92
85.2	,	3.47	,	1.9	,	0.54	,	0.097	,	0.059	,	0.081	,	0.01	,	0.015	,	0.097	,	0.053	,	0.011	,	0.011	,	0.001	,	4.14
82	,	3.48	,	1.92	,	0.58	,	0.101	,	0.059	,	0.111	,	0.006	,	0.018	,	0.073	,	0.06	,	0.012	,	0.012	,	0.001	,	4.15
76.8	,	3.22	,	1.95	,	0.71	,	0.11	,	0.068	,	0.227	,	0.004	,	0.021	,	0.099	,	0.045	,	0.012	,	0.009	,	0.002	,	3.91
88	,	3.29	,	1.77	,	0.77	,	0.116	,	0.063	,	0.247	,	0.005	,	0.023	,	0.133	,	0.039	,	0.014	,	0.015	,	0.002	,	3.92
86.4	,	3.52	,	1.91	,	0.64	,	0.089	,	0.078	,	0.072	,	0.002	,	0.01	,	0.069	,	0.044	,	0.011	,	0.007	,	0.002	,	4.19
80.8	,	3.25	,	1.89	,	0.81	,	0.111	,	0.079	,	0.259	,	0.006	,	0.019	,	0.105	,	0.048	,	0.013	,	0.014	,	0.002	,	3.92
82	,	3.2	,	1.98	,	0.8	,	0.107	,	0.071	,	0.271	,	0.009	,	0.023	,	0.099	,	0.05	,	0.013	,	0.014	,	0.001	,	3.9
85.2	,	3.29	,	1.84	,	0.75	,	0.096	,	0.076	,	0.226	,	0.008	,	0.014	,	0.063	,	0.061	,	0.015	,	0.011	,	0.001	,	3.94
